Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Percentage Change over 3 months for Residential Property Price Index,2012 March,Fingal - houses,%,-2.6
Percentage Change over 3 months for Residential Property Price Index,2012 March,South Dublin - houses,%,-6.4
Percentage Change over 3 months for Residential Property Price Index,2012 March,National excluding Dublin - houses,%,-3.3
Percentage Change over 3 months for Residential Property Price Index,2012 March,Border - houses,%,-1.5
Percentage Change over 3 months for Residential Property Price Index,2012 March,Midland - houses,%,-0.2
Percentage Change over 3 months for Residential Property Price Index,2012 March,West - houses,%,-6.2
Percentage Change over 3 months for Residential Property Price Index,2012 March,Mid-East - houses,%,-5.6
Percentage Change over 3 months for Residential Property Price Index,2012 March,Mid-West - houses,%,-2.9
Percentage Change over 3 months for Residential Property Price Index,2012 March,South-East - houses,%,-3.9
Percentage Change over 3 months for Residential Property Price Index,2012 March,South-West - houses,%,-3.1
Percentage Change over 3 months for Residential Property Price Index,2012 April,National - houses,%,-3
Percentage Change over 3 months for Residential Property Price Index,2012 April,Dublin - houses,%,-1.6
Percentage Change over 3 months for Residential Property Price Index,2012 April,Dublin City - houses,%,-4.7
Percentage Change over 3 months for Residential Property Price Index,2012 April,Dun Laoghaire-Rathdown - houses,%,-1.7
Percentage Change over 3 months for Residential Property Price Index,2012 April,Fingal - houses,%,-1.5
Percentage Change over 3 months for Residential Property Price Index,2012 April,South Dublin - houses,%,-4.2
Percentage Change over 3 months for Residential Property Price Index,2012 April,National excluding Dublin - houses,%,-4.1
Percentage Change over 3 months for Residential Property Price Index,2012 April,Border - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2012 April,Midland - houses,%,0.2
Percentage Change over 3 months for Residential Property Price Index,2012 April,West - houses,%,-4.4
Percentage Change over 3 months for Residential Property Price Index,2012 April,Mid-East - houses,%,-5.3
Percentage Change over 3 months for Residential Property Price Index,2012 April,Mid-West - houses,%,-5.2
Percentage Change over 3 months for Residential Property Price Index,2012 April,South-East - houses,%,-3.4
Percentage Change over 3 months for Residential Property Price Index,2012 April,South-West - houses,%,-4.9
Percentage Change over 3 months for Residential Property Price Index,2012 May,National - houses,%,-1
Percentage Change over 3 months for Residential Property Price Index,2012 May,Dublin - houses,%,1
Percentage Change over 3 months for Residential Property Price Index,2012 May,Dublin City - houses,%,-1.1
Percentage Change over 3 months for Residential Property Price Index,2012 May,Dun Laoghaire-Rathdown - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2012 May,Fingal - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2012 May,South Dublin - houses,%,-2.2
Percentage Change over 3 months for Residential Property Price Index,2012 May,National excluding Dublin - houses,%,-2.6
Percentage Change over 3 months for Residential Property Price Index,2012 May,Border - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2012 May,Midland - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2012 May,West - houses,%,-6.3
Percentage Change over 3 months for Residential Property Price Index,2012 May,Mid-East - houses,%,-3.5
Percentage Change over 3 months for Residential Property Price Index,2012 May,Mid-West - houses,%,-3.2
Percentage Change over 3 months for Residential Property Price Index,2012 May,South-East - houses,%,-0.9
Percentage Change over 3 months for Residential Property Price Index,2012 May,South-West - houses,%,-5.4
Percentage Change over 3 months for Residential Property Price Index,2012 June,National - houses,%,-2
Percentage Change over 3 months for Residential Property Price Index,2012 June,Dublin - houses,%,0.4
Percentage Change over 3 months for Residential Property Price Index,2012 June,Dublin City - houses,%,0.3
Percentage Change over 3 months for Residential Property Price Index,2012 June,Dun Laoghaire-Rathdown - houses,%,-1.1
Percentage Change over 3 months for Residential Property Price Index,2012 June,Fingal - houses,%,-1.4
Percentage Change over 3 months for Residential Property Price Index,2012 June,South Dublin - houses,%,0
Percentage Change over 3 months for Residential Property Price Index,2012 June,National excluding Dublin - houses,%,-3.9
Percentage Change over 3 months for Residential Property Price Index,2012 June,Border - houses,%,-4
Percentage Change over 3 months for Residential Property Price Index,2012 June,Midland - houses,%,-3.8
Percentage Change over 3 months for Residential Property Price Index,2012 June,West - houses,%,-5.3
Percentage Change over 3 months for Residential Property Price Index,2012 June,Mid-East - houses,%,-2.6
Percentage Change over 3 months for Residential Property Price Index,2012 June,Mid-West - houses,%,-3.8
Percentage Change over 3 months for Residential Property Price Index,2012 June,South-East - houses,%,-1.7
Percentage Change over 3 months for Residential Property Price Index,2012 June,South-West - houses,%,-4.5
Percentage Change over 3 months for Residential Property Price Index,2012 July,National - houses,%,0.6
Percentage Change over 3 months for Residential Property Price Index,2012 July,Dublin - houses,%,3
Percentage Change over 3 months for Residential Property Price Index,2012 July,Dublin City - houses,%,2
Percentage Change over 3 months for Residential Property Price Index,2012 July,Dun Laoghaire-Rathdown - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2012 July,Fingal - houses,%,0.2
Percentage Change over 3 months for Residential Property Price Index,2012 July,South Dublin - houses,%,1.8
Percentage Change over 3 months for Residential Property Price Index,2012 July,National excluding Dublin - houses,%,-1.4
Percentage Change over 3 months for Residential Property Price Index,2012 July,Border - houses,%,-4.1
Percentage Change over 3 months for Residential Property Price Index,2012 July,Midland - houses,%,-6
Percentage Change over 3 months for Residential Property Price Index,2012 July,West - houses,%,-2.3
Percentage Change over 3 months for Residential Property Price Index,2012 July,Mid-East - houses,%,0.7
Percentage Change over 3 months for Residential Property Price Index,2012 July,Mid-West - houses,%,-2
Percentage Change over 3 months for Residential Property Price Index,2012 July,South-East - houses,%,-3.1
Percentage Change over 3 months for Residential Property Price Index,2012 July,South-West - houses,%,-2.3
Percentage Change over 3 months for Residential Property Price Index,2012 August,National - houses,%,1.1
Percentage Change over 3 months for Residential Property Price Index,2012 August,Dublin - houses,%,4.2
Percentage Change over 3 months for Residential Property Price Index,2012 August,Dublin City - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2012 August,Dun Laoghaire-Rathdown - houses,%,5.8
Percentage Change over 3 months for Residential Property Price Index,2012 August,Fingal - houses,%,2.5
Percentage Change over 3 months for Residential Property Price Index,2012 August,South Dublin - houses,%,1.8
Percentage Change over 3 months for Residential Property Price Index,2012 August,National excluding Dublin - houses,%,-1.5
Percentage Change over 3 months for Residential Property Price Index,2012 August,Border - houses,%,-7.7
Percentage Change over 3 months for Residential Property Price Index,2012 August,Midland - houses,%,-6.8
Percentage Change over 3 months for Residential Property Price Index,2012 August,West - houses,%,-1
Percentage Change over 3 months for Residential Property Price Index,2012 August,Mid-East - houses,%,2
Percentage Change over 3 months for Residential Property Price Index,2012 August,Mid-West - houses,%,-2.7
Percentage Change over 3 months for Residential Property Price Index,2012 August,South-East - houses,%,-3
Percentage Change over 3 months for Residential Property Price Index,2012 August,South-West - houses,%,-1.9
Percentage Change over 3 months for Residential Property Price Index,2012 September,National - houses,%,1.9
Percentage Change over 3 months for Residential Property Price Index,2012 September,Dublin - houses,%,4.7
Percentage Change over 3 months for Residential Property Price Index,2012 September,Dublin City - houses,%,5
Percentage Change over 3 months for Residential Property Price Index,2012 September,Dun Laoghaire-Rathdown - houses,%,7.2
Percentage Change over 3 months for Residential Property Price Index,2012 September,Fingal - houses,%,3.1
Percentage Change over 3 months for Residential Property Price Index,2012 September,South Dublin - houses,%,0.8
Percentage Change over 3 months for Residential Property Price Index,2012 September,National excluding Dublin - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2012 September,Border - houses,%,-7.4
Percentage Change over 3 months for Residential Property Price Index,2012 September,Midland - houses,%,-1.1
Percentage Change over 3 months for Residential Property Price Index,2012 September,West - houses,%,-1.8
Percentage Change over 3 months for Residential Property Price Index,2012 September,Mid-East - houses,%,3
Percentage Change over 3 months for Residential Property Price Index,2012 September,Mid-West - houses,%,-1.3
Percentage Change over 3 months for Residential Property Price Index,2012 September,South-East - houses,%,-4.1
Percentage Change over 3 months for Residential Property Price Index,2012 September,South-West - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2012 October,National - houses,%,1.2
Percentage Change over 3 months for Residential Property Price Index,2012 October,Dublin - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2012 October,Dublin City - houses,%,4.2
Percentage Change over 3 months for Residential Property Price Index,2012 October,Dun Laoghaire-Rathdown - houses,%,7.8
Percentage Change over 3 months for Residential Property Price Index,2012 October,Fingal - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2012 October,South Dublin - houses,%,1
Percentage Change over 3 months for Residential Property Price Index,2012 October,National excluding Dublin - houses,%,-0.8
Percentage Change over 3 months for Residential Property Price Index,2012 October,Border - houses,%,-6.2
Percentage Change over 3 months for Residential Property Price Index,2012 October,Midland - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2012 October,West - houses,%,-3.3
Percentage Change over 3 months for Residential Property Price Index,2012 October,Mid-East - houses,%,3
Percentage Change over 3 months for Residential Property Price Index,2012 October,Mid-West - houses,%,-1.8
Percentage Change over 3 months for Residential Property Price Index,2012 October,South-East - houses,%,-2
Percentage Change over 3 months for Residential Property Price Index,2012 October,South-West - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2012 November,National - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2012 November,Dublin - houses,%,2.8
Percentage Change over 3 months for Residential Property Price Index,2012 November,Dublin City - houses,%,4.3
Percentage Change over 3 months for Residential Property Price Index,2012 November,Dun Laoghaire-Rathdown - houses,%,6.6
Percentage Change over 3 months for Residential Property Price Index,2012 November,Fingal - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2012 November,South Dublin - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2012 November,National excluding Dublin - houses,%,-1.5
Percentage Change over 3 months for Residential Property Price Index,2012 November,Border - houses,%,-5.2
Percentage Change over 3 months for Residential Property Price Index,2012 November,Midland - houses,%,-2.1
Percentage Change over 3 months for Residential Property Price Index,2012 November,West - houses,%,-2.7
Percentage Change over 3 months for Residential Property Price Index,2012 November,Mid-East - houses,%,2.5
Percentage Change over 3 months for Residential Property Price Index,2012 November,Mid-West - houses,%,-2.3
Percentage Change over 3 months for Residential Property Price Index,2012 November,South-East - houses,%,-3
Percentage Change over 3 months for Residential Property Price Index,2012 November,South-West - houses,%,-0.3
Percentage Change over 3 months for Residential Property Price Index,2012 December,National - houses,%,0.3
Percentage Change over 3 months for Residential Property Price Index,2012 December,Dublin - houses,%,3
Percentage Change over 3 months for Residential Property Price Index,2012 December,Dublin City - houses,%,4.8
Percentage Change over 3 months for Residential Property Price Index,2012 December,Dun Laoghaire-Rathdown - houses,%,6.2
Percentage Change over 3 months for Residential Property Price Index,2012 December,Fingal - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2012 December,South Dublin - houses,%,4.5
Percentage Change over 3 months for Residential Property Price Index,2012 December,National excluding Dublin - houses,%,-2.2
Percentage Change over 3 months for Residential Property Price Index,2012 December,Border - houses,%,-3.8
Percentage Change over 3 months for Residential Property Price Index,2012 December,Midland - houses,%,-4.9
Percentage Change over 3 months for Residential Property Price Index,2012 December,West - houses,%,-3.6
Percentage Change over 3 months for Residential Property Price Index,2012 December,Mid-East - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2012 December,Mid-West - houses,%,-4.2
Percentage Change over 3 months for Residential Property Price Index,2012 December,South-East - houses,%,-1.6
Percentage Change over 3 months for Residential Property Price Index,2012 December,South-West - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2013 January,National - houses,%,-2.1
Percentage Change over 3 months for Residential Property Price Index,2013 January,Dublin - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2013 January,Dublin City - houses,%,3.7
Percentage Change over 3 months for Residential Property Price Index,2013 January,Dun Laoghaire-Rathdown - houses,%,4.7
Percentage Change over 3 months for Residential Property Price Index,2013 January,Fingal - houses,%,0.2
Percentage Change over 3 months for Residential Property Price Index,2013 January,South Dublin - houses,%,2.7
Percentage Change over 3 months for Residential Property Price Index,2013 January,National excluding Dublin - houses,%,-4.8
Percentage Change over 3 months for Residential Property Price Index,2013 January,Border - houses,%,-9.4
Percentage Change over 3 months for Residential Property Price Index,2013 January,Midland - houses,%,-5.4
Percentage Change over 3 months for Residential Property Price Index,2013 January,West - houses,%,-6.4
Percentage Change over 3 months for Residential Property Price Index,2013 January,Mid-East - houses,%,0.1
Percentage Change over 3 months for Residential Property Price Index,2013 January,Mid-West - houses,%,-4.9
Percentage Change over 3 months for Residential Property Price Index,2013 January,South-East - houses,%,-3.4
Percentage Change over 3 months for Residential Property Price Index,2013 January,South-West - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2013 February,National - houses,%,-2.9
Percentage Change over 3 months for Residential Property Price Index,2013 February,Dublin - houses,%,-1.7
Percentage Change over 3 months for Residential Property Price Index,2013 February,Dublin City - houses,%,1.4
Percentage Change over 3 months for Residential Property Price Index,2013 February,Dun Laoghaire-Rathdown - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2013 February,Fingal - houses,%,-1.1
Percentage Change over 3 months for Residential Property Price Index,2013 February,South Dublin - houses,%,1.9
Percentage Change over 3 months for Residential Property Price Index,2013 February,National excluding Dublin - houses,%,-3.9
Percentage Change over 3 months for Residential Property Price Index,2013 February,Border - houses,%,-9
Percentage Change over 3 months for Residential Property Price Index,2013 February,Midland - houses,%,-3.7
Percentage Change over 3 months for Residential Property Price Index,2013 February,West - houses,%,-6.1
Percentage Change over 3 months for Residential Property Price Index,2013 February,Mid-East - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2013 February,Mid-West - houses,%,-4.5
Percentage Change over 3 months for Residential Property Price Index,2013 February,South-East - houses,%,-4.3
Percentage Change over 3 months for Residential Property Price Index,2013 February,South-West - houses,%,-0.9
Percentage Change over 3 months for Residential Property Price Index,2013 March,National - houses,%,-4.6
Percentage Change over 3 months for Residential Property Price Index,2013 March,Dublin - houses,%,-3.6
Percentage Change over 3 months for Residential Property Price Index,2013 March,Dublin City - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2013 March,Dun Laoghaire-Rathdown - houses,%,0.1
Percentage Change over 3 months for Residential Property Price Index,2013 March,Fingal - houses,%,-2.9
Percentage Change over 3 months for Residential Property Price Index,2013 March,South Dublin - houses,%,-0.1
Percentage Change over 3 months for Residential Property Price Index,2013 March,National excluding Dublin - houses,%,-5.6
Percentage Change over 3 months for Residential Property Price Index,2013 March,Border - houses,%,-9.8
Percentage Change over 3 months for Residential Property Price Index,2013 March,Midland - houses,%,-6.4
Percentage Change over 3 months for Residential Property Price Index,2013 March,West - houses,%,-3.8
Percentage Change over 3 months for Residential Property Price Index,2013 March,Mid-East - houses,%,-2.3
Percentage Change over 3 months for Residential Property Price Index,2013 March,Mid-West - houses,%,-6.3
Percentage Change over 3 months for Residential Property Price Index,2013 March,South-East - houses,%,-4.3
Percentage Change over 3 months for Residential Property Price Index,2013 March,South-West - houses,%,-3.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,National - houses,%,-1.9
Percentage Change over 3 months for Residential Property Price Index,2013 April,Dublin - houses,%,-1.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,Dublin City - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2013 April,Dun Laoghaire-Rathdown - houses,%,-0.6
Percentage Change over 3 months for Residential Property Price Index,2013 April,Fingal - houses,%,0.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,South Dublin - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2013 April,National excluding Dublin - houses,%,-2.7
Percentage Change over 3 months for Residential Property Price Index,2013 April,Border - houses,%,-3.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,Midland - houses,%,-2.5
Percentage Change over 3 months for Residential Property Price Index,2013 April,West - houses,%,1.8
Percentage Change over 3 months for Residential Property Price Index,2013 April,Mid-East - houses,%,-1.8
Percentage Change over 3 months for Residential Property Price Index,2013 April,Mid-West - houses,%,-8.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,South-East - houses,%,-3.2
Percentage Change over 3 months for Residential Property Price Index,2013 April,South-West - houses,%,-4.1
Percentage Change over 3 months for Residential Property Price Index,2013 May,National - houses,%,-0.8
Percentage Change over 3 months for Residential Property Price Index,2013 May,Dublin - houses,%,1.5
Percentage Change over 3 months for Residential Property Price Index,2013 May,Dublin City - houses,%,0.3
Percentage Change over 3 months for Residential Property Price Index,2013 May,Dun Laoghaire-Rathdown - houses,%,-0.3
Percentage Change over 3 months for Residential Property Price Index,2013 May,Fingal - houses,%,1.1
Percentage Change over 3 months for Residential Property Price Index,2013 May,South Dublin - houses,%,2.8
Percentage Change over 3 months for Residential Property Price Index,2013 May,National excluding Dublin - houses,%,-3.1
Percentage Change over 3 months for Residential Property Price Index,2013 May,Border - houses,%,-1.6
Percentage Change over 3 months for Residential Property Price Index,2013 May,Midland - houses,%,-2.6
Percentage Change over 3 months for Residential Property Price Index,2013 May,West - houses,%,1.5
Percentage Change over 3 months for Residential Property Price Index,2013 May,Mid-East - houses,%,-3.1
Percentage Change over 3 months for Residential Property Price Index,2013 May,Mid-West - houses,%,-9.3
Percentage Change over 3 months for Residential Property Price Index,2013 May,South-East - houses,%,-1.3
Percentage Change over 3 months for Residential Property Price Index,2013 May,South-West - houses,%,-5.2
Percentage Change over 3 months for Residential Property Price Index,2013 June,National - houses,%,3.3
Percentage Change over 3 months for Residential Property Price Index,2013 June,Dublin - houses,%,6.1
Percentage Change over 3 months for Residential Property Price Index,2013 June,Dublin City - houses,%,1.6
Percentage Change over 3 months for Residential Property Price Index,2013 June,Dun Laoghaire-Rathdown - houses,%,3.7
Percentage Change over 3 months for Residential Property Price Index,2013 June,Fingal - houses,%,3.7
Percentage Change over 3 months for Residential Property Price Index,2013 June,South Dublin - houses,%,4.3
Percentage Change over 3 months for Residential Property Price Index,2013 June,National excluding Dublin - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2013 June,Border - houses,%,0.1
Percentage Change over 3 months for Residential Property Price Index,2013 June,Midland - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2013 June,West - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2013 June,Mid-East - houses,%,-2.2
Percentage Change over 3 months for Residential Property Price Index,2013 June,Mid-West - houses,%,-7.4
Percentage Change over 3 months for Residential Property Price Index,2013 June,South-East - houses,%,-1.4
Percentage Change over 3 months for Residential Property Price Index,2013 June,South-West - houses,%,-1.6
Percentage Change over 3 months for Residential Property Price Index,2013 July,National - houses,%,5.2
Percentage Change over 3 months for Residential Property Price Index,2013 July,Dublin - houses,%,9
Percentage Change over 3 months for Residential Property Price Index,2013 July,Dublin City - houses,%,4.9
Percentage Change over 3 months for Residential Property Price Index,2013 July,Dun Laoghaire-Rathdown - houses,%,6.9
Percentage Change over 3 months for Residential Property Price Index,2013 July,Fingal - houses,%,3
Percentage Change over 3 months for Residential Property Price Index,2013 July,South Dublin - houses,%,5
Percentage Change over 3 months for Residential Property Price Index,2013 July,National excluding Dublin - houses,%,1.4
Percentage Change over 3 months for Residential Property Price Index,2013 July,Border - houses,%,2.1
Percentage Change over 3 months for Residential Property Price Index,2013 July,Midland - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2013 July,West - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2013 July,Mid-East - houses,%,-1.3
Percentage Change over 3 months for Residential Property Price Index,2013 July,Mid-West - houses,%,-3.3
Percentage Change over 3 months for Residential Property Price Index,2013 July,South-East - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2013 July,South-West - houses,%,-0.4
Percentage Change over 3 months for Residential Property Price Index,2013 August,National - houses,%,6.8
Percentage Change over 3 months for Residential Property Price Index,2013 August,Dublin - houses,%,11.1
Percentage Change over 3 months for Residential Property Price Index,2013 August,Dublin City - houses,%,7.8
Percentage Change over 3 months for Residential Property Price Index,2013 August,Dun Laoghaire-Rathdown - houses,%,10
Percentage Change over 3 months for Residential Property Price Index,2013 August,Fingal - houses,%,4.5
Percentage Change over 3 months for Residential Property Price Index,2013 August,South Dublin - houses,%,4.4
Percentage Change over 3 months for Residential Property Price Index,2013 August,National excluding Dublin - houses,%,2.5
Percentage Change over 3 months for Residential Property Price Index,2013 August,Border - houses,%,2.9
Percentage Change over 3 months for Residential Property Price Index,2013 August,Midland - houses,%,-2.9
Percentage Change over 3 months for Residential Property Price Index,2013 August,West - houses,%,2.2
Percentage Change over 3 months for Residential Property Price Index,2013 August,Mid-East - houses,%,-0.8
Percentage Change over 3 months for Residential Property Price Index,2013 August,Mid-West - houses,%,0.7
Percentage Change over 3 months for Residential Property Price Index,2013 August,South-East - houses,%,-1.7
Percentage Change over 3 months for Residential Property Price Index,2013 August,South-West - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2013 September,National - houses,%,5.8
Percentage Change over 3 months for Residential Property Price Index,2013 September,Dublin - houses,%,9
Percentage Change over 3 months for Residential Property Price Index,2013 September,Dublin City - houses,%,8.6
Percentage Change over 3 months for Residential Property Price Index,2013 September,Dun Laoghaire-Rathdown - houses,%,8.5
Percentage Change over 3 months for Residential Property Price Index,2013 September,Fingal - houses,%,5.7
Percentage Change over 3 months for Residential Property Price Index,2013 September,South Dublin - houses,%,4.7
Percentage Change over 3 months for Residential Property Price Index,2013 September,National excluding Dublin - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2013 September,Border - houses,%,5.5
Percentage Change over 3 months for Residential Property Price Index,2013 September,Midland - houses,%,-3.9
Percentage Change over 3 months for Residential Property Price Index,2013 September,West - houses,%,-1.2
Percentage Change over 3 months for Residential Property Price Index,2013 September,Mid-East - houses,%,2.3
Percentage Change over 3 months for Residential Property Price Index,2013 September,Mid-West - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2013 September,South-East - houses,%,-0.8
Percentage Change over 3 months for Residential Property Price Index,2013 September,South-West - houses,%,2.3
Percentage Change over 3 months for Residential Property Price Index,2013 October,National - houses,%,3.8
Percentage Change over 3 months for Residential Property Price Index,2013 October,Dublin - houses,%,5.3
Percentage Change over 3 months for Residential Property Price Index,2013 October,Dublin City - houses,%,7.1
Percentage Change over 3 months for Residential Property Price Index,2013 October,Dun Laoghaire-Rathdown - houses,%,6.8
Percentage Change over 3 months for Residential Property Price Index,2013 October,Fingal - houses,%,5.8
Percentage Change over 3 months for Residential Property Price Index,2013 October,South Dublin - houses,%,4.1
Percentage Change over 3 months for Residential Property Price Index,2013 October,National excluding Dublin - houses,%,2.3
Percentage Change over 3 months for Residential Property Price Index,2013 October,Border - houses,%,2.2
Percentage Change over 3 months for Residential Property Price Index,2013 October,Midland - houses,%,-3.9
Percentage Change over 3 months for Residential Property Price Index,2013 October,West - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2013 October,Mid-East - houses,%,3.3
Percentage Change over 3 months for Residential Property Price Index,2013 October,Mid-West - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2013 October,South-East - houses,%,1.1
Percentage Change over 3 months for Residential Property Price Index,2013 October,South-West - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2013 November,National - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2013 November,Dublin - houses,%,3.3
Percentage Change over 3 months for Residential Property Price Index,2013 November,Dublin City - houses,%,6.2
Percentage Change over 3 months for Residential Property Price Index,2013 November,Dun Laoghaire-Rathdown - houses,%,6.7
Percentage Change over 3 months for Residential Property Price Index,2013 November,Fingal - houses,%,3.1
Percentage Change over 3 months for Residential Property Price Index,2013 November,South Dublin - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2013 November,National excluding Dublin - houses,%,1.9
Percentage Change over 3 months for Residential Property Price Index,2013 November,Border - houses,%,2.4
Percentage Change over 3 months for Residential Property Price Index,2013 November,Midland - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2013 November,West - houses,%,0.3
Percentage Change over 3 months for Residential Property Price Index,2013 November,Mid-East - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2013 November,Mid-West - houses,%,-0.5
Percentage Change over 3 months for Residential Property Price Index,2013 November,South-East - houses,%,3.5
Percentage Change over 3 months for Residential Property Price Index,2013 November,South-West - houses,%,2.7
Percentage Change over 3 months for Residential Property Price Index,2013 December,National - houses,%,2
Percentage Change over 3 months for Residential Property Price Index,2013 December,Dublin - houses,%,2.7
Percentage Change over 3 months for Residential Property Price Index,2013 December,Dublin City - houses,%,6.1
Percentage Change over 3 months for Residential Property Price Index,2013 December,Dun Laoghaire-Rathdown - houses,%,5.8
Percentage Change over 3 months for Residential Property Price Index,2013 December,Fingal - houses,%,2
Percentage Change over 3 months for Residential Property Price Index,2013 December,South Dublin - houses,%,3.9
Percentage Change over 3 months for Residential Property Price Index,2013 December,National excluding Dublin - houses,%,1.3
Percentage Change over 3 months for Residential Property Price Index,2013 December,Border - houses,%,-0.7
Percentage Change over 3 months for Residential Property Price Index,2013 December,Midland - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2013 December,West - houses,%,0.8
Percentage Change over 3 months for Residential Property Price Index,2013 December,Mid-East - houses,%,2.8
Percentage Change over 3 months for Residential Property Price Index,2013 December,Mid-West - houses,%,0.3
Percentage Change over 3 months for Residential Property Price Index,2013 December,South-East - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2013 December,South-West - houses,%,3.4
Percentage Change over 3 months for Residential Property Price Index,2014 January,National - houses,%,1.3
Percentage Change over 3 months for Residential Property Price Index,2014 January,Dublin - houses,%,2
Percentage Change over 3 months for Residential Property Price Index,2014 January,Dublin City - houses,%,5.5
Percentage Change over 3 months for Residential Property Price Index,2014 January,Dun Laoghaire-Rathdown - houses,%,5.3
Percentage Change over 3 months for Residential Property Price Index,2014 January,Fingal - houses,%,-1.1
Percentage Change over 3 months for Residential Property Price Index,2014 January,South Dublin - houses,%,4.4
Percentage Change over 3 months for Residential Property Price Index,2014 January,National excluding Dublin - houses,%,0.5
Percentage Change over 3 months for Residential Property Price Index,2014 January,Border - houses,%,-3.8
Percentage Change over 3 months for Residential Property Price Index,2014 January,Midland - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 January,West - houses,%,0.8
Percentage Change over 3 months for Residential Property Price Index,2014 January,Mid-East - houses,%,3.1
Percentage Change over 3 months for Residential Property Price Index,2014 January,Mid-West - houses,%,1.9
Percentage Change over 3 months for Residential Property Price Index,2014 January,South-East - houses,%,1.7
Percentage Change over 3 months for Residential Property Price Index,2014 January,South-West - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2014 February,National - houses,%,1.4
Percentage Change over 3 months for Residential Property Price Index,2014 February,Dublin - houses,%,1.8
Percentage Change over 3 months for Residential Property Price Index,2014 February,Dublin City - houses,%,5.5
Percentage Change over 3 months for Residential Property Price Index,2014 February,Dun Laoghaire-Rathdown - houses,%,3.7
Percentage Change over 3 months for Residential Property Price Index,2014 February,Fingal - houses,%,-1.2
Percentage Change over 3 months for Residential Property Price Index,2014 February,South Dublin - houses,%,3.3
Percentage Change over 3 months for Residential Property Price Index,2014 February,National excluding Dublin - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2014 February,Border - houses,%,-4.5
Percentage Change over 3 months for Residential Property Price Index,2014 February,Midland - houses,%,0.9
Percentage Change over 3 months for Residential Property Price Index,2014 February,West - houses,%,-1.4
Percentage Change over 3 months for Residential Property Price Index,2014 February,Mid-East - houses,%,4
Percentage Change over 3 months for Residential Property Price Index,2014 February,Mid-West - houses,%,3.2
Percentage Change over 3 months for Residential Property Price Index,2014 February,South-East - houses,%,2.6
Percentage Change over 3 months for Residential Property Price Index,2014 February,South-West - houses,%,2.7
Percentage Change over 3 months for Residential Property Price Index,2014 March,National - houses,%,0.8
