Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2008 October,South-West - houses,Base,
Residential Property Price Index,2008 November,National - houses,Base,141.1
Residential Property Price Index,2008 November,Dublin - houses,Base,130.5
Residential Property Price Index,2008 November,Dublin City - houses,Base,
Residential Property Price Index,2008 November,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 November,Fingal - houses,Base,
Residential Property Price Index,2008 November,South Dublin - houses,Base,
Residential Property Price Index,2008 November,National excluding Dublin - houses,Base,162.1
Residential Property Price Index,2008 November,Border - houses,Base,
Residential Property Price Index,2008 November,Midland - houses,Base,
Residential Property Price Index,2008 November,West - houses,Base,
Residential Property Price Index,2008 November,Mid-East - houses,Base,
Residential Property Price Index,2008 November,Mid-West - houses,Base,
Residential Property Price Index,2008 November,South-East - houses,Base,
Residential Property Price Index,2008 November,South-West - houses,Base,
Residential Property Price Index,2008 December,National - houses,Base,138.3
Residential Property Price Index,2008 December,Dublin - houses,Base,127.6
Residential Property Price Index,2008 December,Dublin City - houses,Base,
Residential Property Price Index,2008 December,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2008 December,Fingal - houses,Base,
Residential Property Price Index,2008 December,South Dublin - houses,Base,
Residential Property Price Index,2008 December,National excluding Dublin - houses,Base,159
Residential Property Price Index,2008 December,Border - houses,Base,
Residential Property Price Index,2008 December,Midland - houses,Base,
Residential Property Price Index,2008 December,West - houses,Base,
Residential Property Price Index,2008 December,Mid-East - houses,Base,
Residential Property Price Index,2008 December,Mid-West - houses,Base,
Residential Property Price Index,2008 December,South-East - houses,Base,
Residential Property Price Index,2008 December,South-West - houses,Base,
Residential Property Price Index,2009 January,National - houses,Base,134.9
Residential Property Price Index,2009 January,Dublin - houses,Base,123.3
Residential Property Price Index,2009 January,Dublin City - houses,Base,
Residential Property Price Index,2009 January,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 January,Fingal - houses,Base,
